Finnish (present);Finnish (imperfekti);Finnish (basic) 
(sinä) myyt;(sinä) myit;(sinä) myydä
(hän) myy;(hän) myi;(hän) myydä
(me) myymme;(me) myimme;(me) myydä
(te) myytte;(te) myitte;(te) myydä
(he) myyvät;(he) myivät;(he) myydä
(minä) saan;(minä) sain;(minä) saada
(sinä) saat;(sinä) sait;(sinä) saada
(hän) saa;(hän) sai;(hän) saada
(me) saamme;(me) saimme;(me) saada
(te) saatte;(te) saitte;(te) saada
(he) saavat;(he) saivat;(he) saada
(minä) juon;(minä) join;(minä) juoda
(sinä) juot;(sinä) joit;(sinä) juoda
(hän) juo;(hän) joi;(hän) juoda
(me) juomme;(me) joimme;(me) juoda
(te) juotte;(te) joitte;(te) juoda
(he) juovat;(he) joivat;(he) juoda
(minä) syön;(minä) söin;(minä) syödä
(sinä) syöt;(sinä) söit;(sinä) syödä
(hän) syö;(hän) söi;(hän) syödä
(me) syömme;(me) söimme;(me) syödä
(te) syötte;(te) söitte;(te) syödä
(he) syövät;(he) söivät;(he) syödä
(minä) voin;(minä) voin;(minä) voida
(sinä) voit;(sinä) voit;(sinä) voida
(hän) voi;(hän) voi;(hän) voida
(me) voimme;(me) voimme;(me) voida
(te) voitte;(te) voitte;(te) voida
(he) voivat;(he) voivat;(he) voida
(minä) tupakoin;(minä) tupakoin;(minä) tupakoida
(sinä) tupakoit;(sinä) tupakoit;(sinä) tupakoida
(hän) tupakoi;(hän) tupakoi;(hän) tupakoida
(me) tupakoimme;(me) tupakoimme;(me) tupakoida
(te) tupakoitte;(te) tupakoitte;(te) tupakoida
(he) tupakoivat;(he) tupakoivat;(he) tupakoida
(minä) uin;(minä) uin;(minä) uida
(sinä) uit;(sinä) uit;(sinä) uida
(hän) ui;(hän) ui;(hän) uida
(me) uimme;(me) uimme;(me) uida
(te) uitte;(te) uitte;(te) uida
(he) uivat;(he) uivat;(he) uida
(minä) pysäköin;(minä) pysäköin;(minä) pysäköidä
(sinä) pysäköit;(sinä) pysäköit;(sinä) pysäköidä
(hän) pysäköi;(hän) pysäköi;(hän) pysäköidä
(me) pysäköimme;(me) pysäköimme;(me) pysäköidä
(te) pysäköitte;(te) pysäköitte;(te) pysäköidä
(he) pysäköivät;(he) pysäköivät;(he) pysäköidä
(minä) opiskelen;(minä) opiskelin;(minä) opiskella
(sinä) opiskelet;(sinä) opiskelit;(sinä) opiskella
(hän) opiskelee;(hän) opiskeli;(hän) opiskella
(me) opiskelemme;(me) opiskelimme;(me) opiskella
(te) opiskelette;(te) opiskelitte;(te) opiskella
(he) opiskelevat;(he) opiskelivat;(he) opiskella
(minä) ompelen;(minä) ompelin;(minä) ommella
(sinä) ompelet;(sinä) ompelit;(sinä) ommella
(hän) ompelee;(hän) ompeli;(hän) ommella
(me) ompelemme;(me) ompelimme;(me) ommella
(te) ompelette;(te) ompelitte;(te) ommella
(he) ompelevat;(he) ompelivat;(he) ommella
(minä) puren;(minä) purin;(minä) purra
(sinä) puret;(sinä) purit;(sinä) purra
(hän) puree;(hän) puri;(hän) purra
(me) puremme;(me) purimme;(me) purra
(te) purette;(te) puritte;(te) purra
(he) purevat;(he) purivat;(he) purra
(minä) nousen;(minä) nousin;(minä) nousta
(sinä) nouset;(sinä) nousit;(sinä) nousta
(hän) nousee;(hän) nousi;(hän) nousta
(me) nousemme;(me) nousimme;(me) nousta
(te) nousette;(te) nousitte;(te) nousta
(he) nousevat;(he) nousivat;(he) nousta
(minä) tapaan;(minä) tapasin;(minä) tavata
(sinä) tapaat;(sinä) tapasit;(sinä) tavata
(hän) tapaa;(hän) tapasi;(hän) tavata
(me) tapaamme;(me) tapasimme;(me) tavata
(te) tapaatte;(te) tapasitte;(te) tavata
(he) tapaavat;(he) tapasivat;(he) tavata
(minä) haluan;(minä) halusin;(minä) haluta
(sinä) haluat;(sinä) halusit;(sinä) haluta
(hän) haluaa;(hän) halusi;(hän) haluta
(me) haluamme;(me) halusimme;(me) haluta
(te) haluatte;(te) halusitte;(te) haluta
(he) haluavat;(he) halusivat;(he) haluta
(minä) pelaan;(minä) pelasin;(minä) pelata
(sinä) pelaat;(sinä) pelasit;(sinä) pelata
(hän) pelaa;(hän) pelasi;(hän) pelata
