Finnish (present);Finnish (imperfekti)
(minä) nousen;(minä) nousin
(sinä) nouset;(sinä) nousit
(hän) nousee;(hän) nousi
(me) nousemme;(me) nousimme
(te) nousette;(te) nousitte
(he) nousevat;(he) nousivat
(minä) tapaan;(minä) tapasin
(sinä) tapaat;(sinä) tapasit
(hän) tapaa;(hän) tapasi
(me) tapaamme;(me) tapasimme
(te) tapaatte;(te) tapasitte
(he) tapaavat;(he) tapasivat
(minä) haluan;(minä) halusin
(sinä) haluat;(sinä) halusit
(hän) haluaa;(hän) halusi
(me) haluamme;(me) halusimme
(te) haluatte;(te) halusitte
(he) haluavat;(he) halusivat
(minä) pelaan;(minä) pelasin
(sinä) pelaat;(sinä) pelasit
(hän) pelaa;(hän) pelasi
(me) pelaamme;(me) pelasimme
(te) pelaatte;(te) pelasitte
(he) pelaavat;(he) pelasivat
(minä) putoan;(minä) putosin
(sinä) putoat;(sinä) putosit
(hän) putoaa;(hän) putosi
(me) putoamme;(me) putosimme
(te) putoatte;(te) putositte
(he) putoavat;(he) putosivat
(minä) häiritsen;(minä) häiritsin
(sinä) häiritset;(sinä) häiritsit
(hän) häiritsee;(hän) häiritsi
(me) häiritsemme;(me) häiritsimme
(te) häiritsette;(te) häiritsitte
(he) häiritsevät;(he) häiritsivät
(minä) tarvitsen;(minä) tarvitsin
(sinä) tarvitset;(sinä) tarvitsit
(hän) tarvitsee;(hän) tarvitsi
(me) tarvitsemme;(me) tarvitsimme
(te) tarvitsette;(te) tarvitsitte
(he) tarvitsevat;(he) tarvitsivat
(minä) valitsen;(minä) valitsin
(sinä) valitset;(sinä) valitsit
(hän) valitsee;(hän) valitsi
(me) valitsemme;(me) valitsimme
(te) valitsette;(te) valitsitte
(he) valitsevat;(he) valitsivat
(minä) havaitsen;(minä) havaitsin
(sinä) havaitset;(sinä) havaitsit
(hän) havaitsee;(hän) havaitsi
(me) havaitsemme;(me) havaitsimme
(te) havaitsette;(te) havaitsitte
(he) havaitsevat;(he) havaitsivat
(minä) vanhenen;(minä) vanhenin
(sinä) vanhenet;(sinä) vanhenit
(hän) vanhenee;(hän) vanheni
(me) vanhenemme;(me) vanhenimme
(te) vanhenette;(te) vanhenitte
