Finnish;English;Finnish (STEM)
(sinä) näet; You (singular) see;NÄHDÄ
(hän) näkee; He/she/it sees;NÄHDÄ
(me) näemme; We see;NÄHDÄ
(te) näette; You (plural) see;NÄHDÄ
(he) näkevät; They see;NÄHDÄ

JUOSTA; to run;-
(minä) juoksen; I run;JUOSTA
(sinä) juokset; You (singular) run;JUOSTA
(hän) juoksee; He/she/it runs;JUOSTA
(me) juoksemme; We run;JUOSTA
(te) juoksette; You (plural) run;JUOSTA
(he) juoksevat; They run;JUOSTA




OTTAA; to take;-
(minä) otan; I take;OTTAA
(sinä) otat; You (singular) take;OTTAA
(hän) ottaa; He/she/it takes;OTTAA
(me) otamme; We take;OTTAA
(te) otatte; You (plural) take;OTTAA
(he) ottavat; They take;OTTAA

KIRJOITTAA; to write;-
(minä) kirjoitan; I write;KIRJOITTAA
(sinä) kirjoitat; You (singular) write;KIRJOITTAA
(hän) kirjoittaa; He/she/it writes;KIRJOITTAA
(me) kirjoitamme; We write;KIRJOITTAA
(te) kirjoitatte; You (plural) write;KIRJOITTAA
(he) kirjoittavat; They write;KIRJOITTAA

SOITTAA; to play (a musical instrument), to call;-
(minä) soitan; I play (a musical instrument);SOITTAA
(sinä) soitat; You (singular) play (a musical instrument);SOITTAA
(hän) soittaa; He/she/it playes (a musical instrument);SOITTAA
(me) soitamme; We play (a musical instrument);SOITTAA
(te) soitatte; You (plural) play (a musical instrument);SOITTAA
(he) soittavat; They play (a musical instrument);SOITTAA

NUKKUA; to sleep;-
(minä) nukun; I sleep;NUKKUA
(sinä) nukut; You (singular) sleep;NUKKUA
(hän) nukkuu; He/she/it sleeps;NUKKUA
(me) nukumme; We sleep;NUKKUA
(te) nukutte; You (plural) sleep;NUKKUA
(he) nukkuvat; They sleep;NUKKUA

RENTOUTUA; to relax, to chill out;-
(minä) rentoudun; I relax;RENTOUTUA
(sinä) rentoudut; You (singular) relax;RENTOUTUA
(hän) rentoutuu; He/she/it relaxes;RENTOUTUA
(me) rentoudumme; We relax;RENTOUTUA
(te) rentoudutte; You (plural) relax;RENTOUTUA
(he) rentoutuvat; They relax;RENTOUTUA

PITÄÄ; to like, to hold...;-
(minä) pidän; I like/hold;PITÄÄ
(sinä) pidät; You (singular) like/hold;PITÄÄ
(hän) pitää; He/she/it likes/holds;PITÄÄ
(me) pidämme; We like/hold;PITÄÄ
(te) pidätte; You (plural) like/hold;PITÄÄ
(he) pitävät; They like/hold;PITÄÄ

YMMÄRTÄÄ; to understand;-
(minä) ymmärrän; I understand;YMMÄRTÄÄ
(sinä) ymmärrät; You (singular) understand;YMMÄRTÄÄ
(hän) ymmärtää; He/she/it understands;YMMÄRTÄÄ
(me) ymmärrämme; We understand;YMMÄRTÄÄ
(te) ymmärrätte; You (plural) understand;YMMÄRTÄÄ
(he) ymmärtävät; They understand;YMMÄRTÄÄ

AJATELLA; to think;-
(minä) ajattelen; I think;AJATELLA
(sinä) ajattelet; You (singular) think;AJATELLA
(hän) ajattelee; He/she/it thinks;AJATELLA
(me) ajattelemme; We think;AJATELLA
(te) ajattelette; You (plural) think;AJATELLA
(he) ajattelevat; They think;AJATELLA

KUUNNELLA; to listen;-
(minä) kuuntelen; I listen;KUUNNELLA
(sinä) kuuntelet; You (singular) listen;KUUNNELLA
(hän) kuuntelee; He/she/it listens;KUUNNELLA
(me) kuuntelemme; We listen;KUUNNELLA
(te) kuuntelette; You (plural) listen;KUUNNELLA
(he) kuuntelevat; They listen;KUUNNELLA

TYKÄTÄ; to like;-
(minä) tykkään; I like;TYKÄTÄ
(sinä) tykkäät; You (singular) like;TYKÄTÄ
